INDEX	DATE	SPOT	FUTURES	RETSPOT	RETFUTURES
10      89.11010    35564.43000    35705.00000        0.04216       -0.18188
10      89.11020    35494.86000    35630.00000       -0.19581       -0.21028
10      89.11060    35434.00000    35520.00000       -0.17161       -0.30921
10      89.11070    35270.46000    35465.00000       -0.46260       -0.15496
10      89.11080    35595.59000    35785.00000        0.91760        0.89825
10      89.11090    35657.42000    35730.00000        0.17355       -0.15381
10      89.11100    35663.20000    35820.00000        0.01621        0.25157
10      89.11130    35750.12000    35810.00000        0.24343       -0.02792
10      89.11140    35768.64000    35870.00000        0.05179        0.16741
10      89.11150    35852.23000    35905.00000        0.23342        0.09753
10      89.11160    35876.34000    35920.00000        0.06723        0.04177
10      89.11170    35963.74000    36008.00000        0.24332        0.24469
10      89.11200    35893.58000    35960.00000       -0.19528       -0.13339
10      89.11210    36059.87000    36100.00000        0.46222        0.38857
10      89.11220    36286.92000    36370.00000        0.62767        0.74514
10      89.11240    36484.47000    36620.00000        0.54293        0.68503
10      89.11270    36881.53000    37060.00000        1.08242        1.19437
10      89.11280    36985.30000    37065.00000        0.28097        0.01349
10      89.11290    37021.46000    37210.00000        0.09772        0.39044
10      89.11300    37268.79000    37270.00000        0.66585        0.16112
11      89.12010    37132.68000    37115.00000       -0.36588       -0.41675
11      89.12040    37303.87000    37400.00000        0.45996        0.76495
11      89.12050    37494.17000    37555.00000        0.50884        0.41358
11      89.12060    37654.29000    37785.00000        0.42614        0.61057
11      89.12070    37858.11000    37865.00000        0.53983        0.21150
11      89.12080    37724.06000    37715.00000       -0.35471       -0.39693
11      89.12110    37752.67000    37885.00000        0.07581        0.44974
11      89.12120    37803.53000    38570.00000        0.13463        0.22062
11      89.12130    38062.42000    38860.00000        0.68250        0.74907
11      89.12140    38180.70000    38960.00000        0.31027        0.25700
11      89.12150    38271.04000    38975.00000        0.23633        0.03849
11      89.12180    38586.18000    39500.00000        0.82007        1.33803
11      89.12190    38439.10000    39175.00000       -0.38190       -0.82619
11      89.12200    38512.00000    39260.00000        0.18947        0.21674
11      89.12210    38215.48000    38990.00000       -0.77292       -0.69010
11      89.12220    38040.37000    38705.00000       -0.45927       -0.73364
11      89.12260    38681.31000    39690.00000        1.67086        2.51305
11      89.12270    38801.63000    39765.00000        0.31057        0.18879
11      89.12280    38876.94000    39710.00000        0.19390       -0.13841
11      89.12290    38915.87000    39655.00000        0.10009       -0.13860
12      90.01040    38712.88000    39190.00000       -0.52298       -1.17954
12      90.01050    38274.76000    38795.00000       -1.13817       -1.01302
12      90.01080    38294.96000    38860.00000        0.05276        0.16741
12      90.01090    37951.46000    38460.00000       -0.90103       -1.03467
12      90.01100    37696.51000    38230.00000       -0.67405       -0.59982
12      90.01110    38170.13000    38505.00000        1.24858        0.71676
12      90.01120    37516.77000    38245.00000       -1.72652       -0.67753
12      90.01160    36850.36000    37270.00000       -1.79226       -2.58241
12      90.01170    36821.14000    37500.00000       -0.07933        0.61522
12      90.01180    36729.46000    37130.00000       -0.24930       -0.99157
12      90.01190    36836.54000    37310.00000        0.29111        0.48361
12      90.01220    37257.01000    37930.00000        1.13498        1.64810
12      90.01230    37378.02000    37780.00000        0.32427       -0.39625
12      90.01240    36778.98000    37180.00000       -1.61563       -1.60089
12      90.01250    36969.11000    37460.00000        0.51562        0.75027
12      90.01260    36874.07000    37355.00000       -0.25741       -0.28069
12      90.01300    37215.67000    37570.00000        0.92213        0.57391
12      90.01310    37188.95000    37465.00000       -0.07182       -0.27987
13      90.02010    37206.42000    37570.00000        0.04697        0.27987
13      90.02020    37650.15000    37895.00000        1.18556        0.86133
13      90.02050    37631.41000    37900.00000       -0.04979        0.01319
13      90.02060    37666.83000    37980.00000        0.09408        0.21086
13      90.02070    37301.87000    37735.00000       -0.97364       -0.64717
13      90.02080    37516.24000    37665.00000        0.57304       -0.18568
13      90.02090    37288.14000    37585.00000       -0.60986       -0.21262
13      90.02130    37107.03000    37340.00000       -0.48689       -0.65399
13      90.02140    37155.89000    37490.00000        0.13159        0.40091
13      90.02150    37471.99000    37820.00000        0.84714        0.87638
13      90.02160    37460.32000    37795.00000       -0.03115       -0.06612
13      90.02190    37222.60000    37450.00000       -0.63661       -0.91701
13      90.02200    36895.52000    37195.00000       -0.88260       -0.68324
13      90.02210    35734.33000    36075.00000       -3.19783       -3.05742
13      90.02220    35826.84000    35935.00000        0.25855       -0.38884
13      90.02230    34890.97000    34795.00000       -2.64693       -3.22381
13      90.02260    33321.87000    33485.00000       -4.60141       -3.83761
13      90.02270    33897.95000    34325.00000        1.71406        2.47764
13      90.02280    34591.99000    34405.00000        2.02676        0.23280
14      90.03010    33829.58000    34040.00000       -2.22866       -1.06656
14      90.03020    34057.56000    33915.00000        0.67165       -0.36789
15      90.03050    33845.20000    33695.00000       -0.62548       -0.65079
15      90.03060    33791.08000    33750.00000       -0.16003        0.16310
15      90.03070    33362.34000    33230.00000       -1.27691       -1.55273
15      90.03080    33690.89000    33875.00000        0.97998        1.92242
15      90.03090    33993.12000    33960.00000        0.89307        0.25061
15      90.03120    33368.23000    33320.00000       -1.85539       -1.90255
15      90.03130    32620.57000    33035.00000       -2.26612       -2.46668
15      90.03140    32352.13000    32920.00000       -0.82632       -0.34872
15      90.03150    32671.64000    33240.00000        0.98276        0.96736
15      90.03160    32616.44000    33310.00000       -0.16910        0.21037
15      90.03190    31263.24000    31965.00000       -4.23735       -4.12161
15      90.03200    30807.19000    31545.00000       -1.46949       -1.32265
15      90.03220    29843.34000    30485.00000       -3.17864       -3.41803
15      90.03230    30372.16000    31175.00000        1.75647        2.23817
15      90.03260    31840.49000    32555.00000        4.72124        4.33145
15      90.03270    31825.96000    32420.00000       -0.04564       -0.41555
15      90.03280    31263.57000    31950.00000       -1.78288       -1.46033
15      90.03290    31026.16000    31670.00000       -0.76228       -0.88023
15      90.03300    29980.45000    30475.00000       -3.42852       -3.84632
16      90.04020    28002.07000    28895.00000       -6.82671       -5.32381
16      90.04030    28759.72000    29975.00000        2.66974        3.66951
16      90.04040    28442.94000    29120.00000       -1.10758       -2.89385
16      90.04050    28249.06000    29165.00000       -0.68398        0.15441
16      90.04060    29278.78000    30220.00000        3.58028        3.55346
16      90.04090    30397.93000    30880.00000        3.75115        2.16048
16      90.04100    29624.68000    30230.00000       -2.57667       -2.12739
16      90.04110    29440.28000    30200.00000       -0.62440       -0.09929
16      90.04120    29623.20000    29930.00000        0.61940       -0.89806
16      90.04130    29213.92000    29930.00000       -1.39125        0.00000
16      90.04160    28463.18000    28930.00000       -2.60340       -3.39822
16      90.04170    28461.60000    29125.00000       -0.00555        0.67178
16      90.04180    29249.06000    29885.00000        2.72916        2.57598
16      90.04190    29945.41000    30395.00000        2.35286        1.69214
16      90.04200    29835.44000    30385.00000       -0.36791       -0.03291
16      90.04230    29679.07000    29955.00000       -0.52549       -1.42528
16      90.04240    29501.38000    30120.00000       -0.60050        0.54931
16      90.04250    29564.36000    29955.00000        0.21325       -0.54931
16      90.04260    29424.58000    29955.00000       -0.47392        0.00000
